Puzzle Number,Algorithm,Heuristic,Solution Path Length,Search Path Length,Execution Time (s)
19,gbfs,h1,96,1099,4.5129
19,gbfs,h2,96,1099,4.0003
19,gbfs,h3,96,1099,4.9242
19,gbfs,h4,124,1229,8.3077
20,a*,h1,9,1120,0.1740
20,a*,h2,9,1120,0.1682
20,a*,h3,10,583,0.0799
20,a*,h4,9,3516,0.6173
20,ucs,NA,9,3516,0.4527
20,gbfs,h1,78,1127,5.0565
20,gbfs,h2,78,1127,4.3105
20,gbfs,h3,78,1127,5.0587
20,gbfs,h4,125,1266,7.4790
21,a*,h1,10,1864,0.2676
21,a*,h2,10,1864,0.2722
21,a*,h3,11,695,0.0983
21,a*,h4,10,5435,1.0414
21,ucs,NA,10,5435,0.5715
21,gbfs,h1,65,986,4.6287
21,gbfs,h2,65,986,3.7950
21,gbfs,h3,65,986,4.2135
21,gbfs,h4,115,1114,6.5388
22,a*,h1,20,13883,2.0530
22,a*,h2,20,13883,2.0156
22,a*,h3,20,6869,0.9898
22,a*,h4,20,21816,3.9893
22,ucs,NA,20,21816,2.6215
22,gbfs,h1,64,533,1.8939
22,gbfs,h2,64,533,1.7005
22,gbfs,h3,64,533,1.9967
22,gbfs,h4,78,621,3.0504
23,a*,h1,7,1041,0.1363
23,a*,h2,7,1041,0.1361
23,a*,h3,7,202,0.0279
23,a*,h4,7,3289,0.5470
23,ucs,NA,7,3289,0.3381
23,gbfs,h1,67,536,1.7513
23,gbfs,h2,67,536,1.6516
23,gbfs,h3,67,536,2.1762
23,gbfs,h4,69,501,2.1603
24,a*,h1,50,120501,18.8177
24,a*,h2,50,120501,18.7857
24,a*,h3,56,118641,19.0379
24,a*,h4,50,146600,29.4546
24,ucs,NA,50,146600,16.9584
24,gbfs,h1,163,6871,48.1303
24,gbfs,h2,163,6871,42.4674
24,gbfs,h3,163,6871,47.0028
24,gbfs,h4,314,3813,36.8006
25,a*,h1,50,21605,3.5848
25,a*,h2,50,21605,3.4730
25,a*,h3,51,13060,2.1853
25,a*,h4,50,22434,4.3121
25,ucs,NA,50,22434,2.9228
25,gbfs,h1,74,710,3.2832
25,gbfs,h2,74,710,2.9681
25,gbfs,h3,74,710,3.1338
25,gbfs,h4,107,990,5.9661
26,a*,h1,9,1938,0.2663
26,a*,h2,9,1938,0.2623
26,a*,h3,9,850,0.1237
26,a*,h4,9,5590,0.9353
26,ucs,NA,9,5590,0.5492
26,gbfs,h1,83,1476,6.2184
26,gbfs,h2,83,1476,5.5043
26,gbfs,h3,83,1476,5.8369
26,gbfs,h4,103,967,4.8091
27,a*,h1,8,1421,0.1862
27,a*,h2,8,1421,0.2029
27,a*,h3,8,712,0.0941
27,a*,h4,8,4098,0.7002
27,ucs,NA,8,4098,0.4509
27,gbfs,h1,92,1132,5.0126
27,gbfs,h2,92,1132,4.6396
27,gbfs,h3,92,1132,5.1252
27,gbfs,h4,120,1377,8.0604
28,a*,h1,9,4336,0.5481
28,a*,h2,9,4336,0.5624
28,a*,h3,9,2612,0.3297
28,a*,h4,9,9214,1.7347
28,ucs,NA,9,9214,0.8952
28,gbfs,h1,110,1217,5.3118
28,gbfs,h2,110,1217,5.0521
28,gbfs,h3,110,1217,4.8470
28,gbfs,h4,124,1228,6.4787
29,a*,h1,43,33821,5.4133
29,a*,h2,43,33821,5.6462
29,a*,h3,45,30070,4.6519
29,a*,h4,43,46183,8.9467
29,ucs,NA,43,46183,5.4557
29,gbfs,h1,81,1108,4.6695
29,gbfs,h2,81,1108,4.5102
29,gbfs,h3,81,1108,4.5698
29,gbfs,h4,93,820,4.2507
30,a*,h1,8,1116,0.1491
30,a*,h2,8,1116,0.1752
30,a*,h3,8,517,0.0837
30,a*,h4,8,3268,0.5881
30,ucs,NA,8,3268,0.3615
30,gbfs,h1,96,1300,5.7506
30,gbfs,h2,96,1300,5.4352
30,gbfs,h3,96,1300,5.3806
30,gbfs,h4,98,1006,5.9391
31,a*,h1,50,12707,2.0664
31,a*,h2,50,12707,2.0828
31,a*,h3,51,7843,1.2754
31,a*,h4,50,13106,2.6551
31,ucs,NA,50,13106,1.5812
31,gbfs,h1,78,405,1.6496
31,gbfs,h2,78,405,1.7752
